popularity,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence,year,duration_min
54,0.335,0.685,0.571,0.214,-11.623,0.0299,121.737,0.869,1986,3.06955
49,0.000506,0.366,0.848,0.12,-10.575,0.157,92.172,0.162,1986,5.5411
53,0.108,0.534,0.925,0.0634,-5.004,0.0392,200.75,0.88,1986,4.190883333
50,0.0735,0.58,0.663,0.645,-11.48,0.0385,116.305,0.718,1986,3.373333333
50,0.000383,0.49,0.632,0.694,-11.913,0.0333,131.13,0.469,1986,4.040666667
46,0.0705,0.63,0.638,0.0961,-13.219,0.045,131.545,0.897,1986,2.600666667
57,0.862,0.456,0.383,0.28,-9.437,0.0597,188.272,0.966,1986,3.591866667
48,0.832,0.543,0.257,0.078,-15.568,0.0528,161.409,0.363,1986,6.559766667
53,0.479,0.62,0.703,0.14,-7.854,0.0836,136.155,0.559,1986,3.994883333
49,0.257,0.378,0.604,0.238,-12.381,0.0322,91.679,0.8,1986,3.664433333
55,0.0607,0.456,0.956,0.0728,-3.086,0.0423,136.283,0.527,1986,4.278883333
49,0.0157,0.846,0.396,0.0656,-12.408,0.0677,114.045,0.841,1986,4.99155
47,0.0153,0.649,0.714,0.334,-11.268,0.029,137.478,0.964,1986,3.663766667
47,0.261,0.717,0.288,0.0661,-12.943,0.0507,129.401,0.306,1986,6.517766667
50,0.0537,0.947,0.859,0.19,-6.126,0.162,127.07,0.778,1986,6.399333333
57,0.912,0.44,0.265,0.349,-11.427,0.0548,186.604,0.911,1986,2.600766667
53,0.398,0.711,0.77,0.0724,-6.74,0.0365,96.511,0.937,1986,4.488883333
48,0.202,0.676,0.632,0.101,-12.726,0.0688,120.862,0.86,1986,2.71
61,0.96,0.233,0.195,0.0793,-17.202,0.0461,61.211,0.0675,1986,2.23555
51,0.27,0.192,0.425,0.214,-14.574,0.0361,159.614,0.136,1986,4.297766667
48,0.471,0.492,0.286,0.245,-12.118,0.0367,73.823,0.196,1986,5.983333333
49,0.049,0.625,0.572,0.0939,-9.095,0.0251,101.355,0.36,1986,4.422
59,0.00481,0.616,0.714,0.133,-7.02,0.0385,117.422,0.53,1986,4.434433333
52,0.00128,0.305,0.965,0.317,-5.926,0.0809,90.81,0.644,1986,3.514433333
55,0.814,0.628,0.398,0.516,-9.483,0.0411,97.799,0.965,1986,3.074433333
47,0.0013,0.367,0.672,0.111,-10.014,0.0378,128.497,0.382,1986,8.453766667
50,0.218,0.47,0.635,0.102,-14.43,0.0312,180.684,0.629,1986,4.222216667
54,0.555,0.498,0.192,0.0692,-19.543,0.0437,87.683,0.397,1986,1.438883333
49,0.545,0.591,0.174,0.107,-17.425,0.0317,75.019,0.151,1986,3.388216667
47,0.0449,0.46,0.922,0.34,-7.388,0.264,119.961,0.328,1986,5.183766667
63,0.0707,0.632,0.754,0.14,-4.639,0.0385,145.066,0.792,1986,4.4471
47,0.123,0.578,0.44,0.145,-14.644,0.111,85.213,0.439,1986,3.350433333
46,0.103,0.562,0.657,0.255,-11.185,0.0868,126.728,0.263,1986,3.3451
49,0.704,0.539,0.209,0.0922,-16.902,0.0297,168.758,0.259,1986,4.313316667
47,0.615,0.344,0.497,0.151,-14.547,0.0395,134.169,0.375,1986,3.9611
44,0.00218,0.238,0.987,0.107,-4.408,0.168,174.124,0.343,1986,7.45555
57,0.0562,0.489,0.568,0.21,-13.329,0.0281,146.009,0.86,1986,5.13555
73,0.0121,0.603,0.929,0.131,-4.549,0.0407,101.208,0.537,1986,4.8711
52,0.00562,0.392,0.887,0.141,-4.733,0.0463,107.677,0.282,1986,5.214883333
56,0.00392,0.562,0.679,0.117,-12.687,0.0439,126.316,0.716,1986,4.362433333
46,5.19E-05,0.38,0.8,0.321,-8.617,0.0695,138.714,0.574,1986,5.664666667
48,0.164,0.595,0.546,0.0784,-12.951,0.0284,167.064,0.879,1986,3.639333333
47,0.503,0.761,0.335,0.0741,-14.09,0.0362,125.359,0.64,1986,5.29
46,0.28,0.785,0.786,0.158,-12.487,0.0501,120.404,0.638,1986,5.888433333
68,0.393,0.502,0.66,0.608,-11.852,0.0394,85.209,0.722,1986,5.012216667
47,0.0577,0.452,0.64,0.231,-10.89,0.0352,115.058,0.814,1986,2.884
48,0.741,0.715,0.516,0.168,-15.051,0.0307,132.304,0.745,1986,4.247333333
52,0.981,0.343,0.131,0.07,-20.507,0.0319,104.798,0.177,1986,3.800216667
49,0.0723,0.614,0.837,0.114,-7.234,0.0369,168.347,0.952,1986,2.646
53,0.0235,0.656,0.834,0.0442,-6.696,0.0396,120.458,0.674,1986,3.727766667
55,0.81,0.586,0.417,0.419,-10.552,0.0468,129.197,0.976,1986,3.152866667
48,0.586,0.694,0.477,0.0812,-10.524,0.0268,128.26,0.369,1986,5.032
54,0.0679,0.27,0.535,0.143,-8.673,0.0329,194.625,0.336,1986,3.63955
47,0.0432,0.821,0.908,0.111,-11.392,0.0666,119.562,0.77,1986,7.04155
49,0.328,0.622,0.538,0.207,-12.658,0.0364,125.827,0.963,1986,2.617766667
57,0.549,0.682,0.521,0.0311,-11.434,0.249,92.728,0.832,1986,7.00555
47,0.00136,0.874,0.608,0.331,-9.763,0.333,97.806,0.392,1986,3.65955
60,0.118,0.65,0.535,0.187,-13.325,0.0282,173.8,0.9,1986,4.254883333
46,0.275,0.627,0.244,0.079,-16.546,0.0337,134.962,0.332,1986,5.498883333
47,0.0377,0.442,0.532,0.336,-7.721,0.0273,75.034,0.352,1986,4.1151
56,0.589,0.806,0.681,0.0346,-10.65,0.0627,106.564,0.858,1986,4.3091
54,0.612,0.803,0.502,0.0946,-11.86,0.0818,140.613,0.95,1986,2.816666667
47,0.23,0.756,0.448,0.0817,-13.605,0.0282,88.945,0.82,1986,3.013333333
48,0.0147,0.671,0.579,0.116,-13.021,0.0293,117.68,0.659,1986,3.562666667
45,0.115,0.553,0.824,0.129,-10.306,0.039,96.45,0.941,1986,2.391766667
47,0.0129,0.62,0.42,0.0587,-15.481,0.0343,97.107,0.945,1986,5.832216667
51,0.000341,0.371,0.909,0.0894,-5.704,0.101,132.885,0.48,1986,5.894883333
52,1.07E-05,0.396,0.418,0.121,-13.298,0.0299,179.583,0.397,1986,4.18
46,0.000196,0.315,0.994,0.0972,-4.063,0.0559,138.14,0.197,1986,3.457766667
54,0.389,0.605,0.525,0.0621,-8.228,0.0458,132.648,0.978,1986,2.398616667
58,0.00367,0.525,0.804,0.0382,-7.575,0.0321,91.951,0.935,1986,4.48155
50,0.185,0.738,0.67,0.0989,-8.93,0.132,177.277,0.687,1986,5.95555
64,0.298,0.565,0.412,0.206,-14.092,0.0242,83.19,0.351,1986,4.1511
51,0.000639,0.564,0.91,0.0679,-6.472,0.0467,119.33,0.684,1986,3.728216667
49,0.588,0.546,0.622,0.0754,-11.828,0.0306,82.813,0.624,1986,5.808216667
50,0.516,0.336,0.355,0.13,-11.783,0.0362,67.765,0.136,1986,4.066433333
45,0.000506,0.366,0.848,0.12,-10.575,0.157,92.172,0.162,1986,5.5411
56,0.031,0.513,0.77,0.198,-5.131,0.0277,136.22,0.849,1986,4.044433333
62,0.0661,0.68,0.967,0.0808,-2.771,0.0664,115.748,0.895,1987,3.66355
66,0.0171,0.605,0.902,0.124,-5.804,0.0385,122.866,0.692,1987,3.894433333
69,0.028,0.609,0.759,0.183,-4.862,0.0276,114.045,0.774,1987,3.596
80,0.0135,0.564,0.774,0.0861,-9.424,0.0368,100.894,0.657,1987,4.6246
72,0.0318,0.659,0.846,0.203,-5.508,0.0274,107.01,0.659,1987,5.9106
67,0.00153,0.583,0.921,0.188,-5.215,0.0468,119.526,0.613,1987,4.076
76,0.355,0.815,0.61,0.0764,-13.603,0.0279,100.027,0.864,1987,3.5371
67,0.067,0.59,0.743,0.0847,-7.078,0.0347,129.79,0.412,1987,5.782666667
79,0.0094,0.887,0.48,0.0662,-11.994,0.117,95.846,0.607,1987,3.22
59,0.00235,0.334,0.854,0.158,-7.531,0.0494,100.175,0.284,1987,6.629466667
77,0.00211,0.267,0.953,0.283,-4.899,0.096,84.989,0.568,1987,4.4551
